time,step,cases,controls,total
9,0.55,0.6327,0.7215,0.6875
10,0.55,0.5714,0.7722,0.6953
top_ratio=0.30, mean_acc =0.6188
1,0.55,0.6327,0.5696,0.5938
2,0.55,0.5510,0.6076,0.5859
3,0.55,0.5918,0.6203,0.6094
4,0.55,0.6531,0.6456,0.6484
5,0.55,0.6122,0.6456,0.6328
6,0.55,0.6327,0.6962,0.6719
7,0.55,0.5510,0.6329,0.6016
8,0.55,0.6122,0.6203,0.6172
9,0.55,0.6327,0.6076,0.6172
10,0.55,0.6122,0.6076,0.6094
top_ratio=1, mean_acc =0.4414
1,0.55,0.9388,0.0759,0.4062
2,0.55,0.9592,0.1392,0.4531
3,0.55,1.0000,0.1139,0.4531
4,0.55,0.8980,0.1646,0.4453
5,0.55,0.9184,0.1392,0.4375
6,0.55,0.8980,0.1266,0.4219
7,0.55,0.9388,0.1646,0.4609
8,0.55,0.9184,0.1646,0.4531
9,0.55,0.9184,0.1646,0.4531
10,0.55,0.9796,0.0886,0.4297
1,0.55,0.9388,0.1899,0.4766
2,0.55,0.9184,0.1899,0.4688
3,0.55,1.0000,0.2025,0.5078
4,0.55,0.8776,0.1266,0.4141
5,0.55,0.9592,0.1266,0.4453
6,0.55,0.9184,0.1013,0.4141
7,0.55,0.9592,0.1013,0.4297
8,0.55,0.9592,0.1013,0.4297
9,0.55,0.9796,0.1266,0.4531
10,0.55,0.9592,0.1392,0.4531
1,0.55,0.8776,0.1772,0.4453
2,0.55,0.9184,0.1646,0.4531
3,0.55,0.9184,0.2025,0.4766
4,0.55,0.8776,0.1519,0.4297
5,0.55,0.9184,0.1013,0.4141
6,0.55,0.8367,0.1519,0.4141
7,0.55,0.9388,0.1772,0.4688
8,0.55,0.9592,0.1392,0.4531
9,0.55,0.9592,0.1266,0.4453
10,0.55,0.9592,0.0759,0.4141
