spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
226,1.3553,0.6208,0.9041,1.2876,1.0165,0.7544,0.9518,1
227,1.3626,0.5772,0.6476,0.8097,0.5805,0.3663,0.4739,5
228,1.3753,0.5885,0.6589,0.7734,0.5918,0.3776,0.4375,5
229,1.3774,0.3192,0.6025,0.9860,0.7149,0.4528,0.6501,1
230,1.3806,0.3159,0.4813,0.8648,0.6468,0.5149,0.5692,1
231,1.3976,0.7351,0.6334,0.6026,0.3395,0.6016,0.4042,4
232,1.3987,0.5709,0.6414,0.8035,0.5743,0.3601,0.4676,5
233,1.3995,0.5649,0.6353,0.4407,0.5682,0.3651,0.3531,6
234,1.3998,0.3367,0.4054,0.4365,0.3383,0.1377,0.1231,6
235,1.4038,0.6467,0.7171,0.6647,0.6500,0.4358,0.4349,6
236,1.4114,0.6110,0.6815,0.8436,0.6144,0.4002,0.5077,5
237,1.4144,0.2891,0.3032,0.5916,0.1217,0.1404,0.2070,4
238,1.4156,0.5804,0.6508,0.8129,0.5837,0.3695,0.4771,5
239,1.4251,0.4980,0.6401,1.0236,0.7525,0.4904,0.6877,5
240,1.4286,0.4827,0.6248,1.0083,0.7371,0.4751,0.6724,5
241,1.4292,0.5875,0.6579,0.3080,0.5908,0.3766,0.3757,3
242,1.4366,0.4879,0.6300,1.0135,0.7423,0.4803,0.6776,5
243,1.4413,0.5774,0.6478,0.7623,0.5807,0.3665,0.4265,5
244,1.4419,0.3519,0.5789,1.0261,0.5562,0.4974,0.6414,1
245,1.4501,0.6277,0.6982,0.6457,0.6310,0.4169,0.4159,6
246,1.4509,0.5707,0.8540,1.2375,0.9663,0.7043,0.9016,1
247,1.4538,0.2677,0.4947,0.9419,0.3791,0.4291,0.5572,1
248,1.4560,0.4806,0.4459,0.5745,0.1010,0.3470,0.1899,4
249,1.4580,0.5196,0.5336,0.4673,0.3314,0.3206,0.2663,6
250,1.4583,0.5415,0.5556,0.4892,0.3533,0.3425,0.2883,6
251,1.4587,0.6112,0.6816,0.6292,0.6145,0.4003,0.3994,6
252,1.4687,0.6161,0.6865,0.8011,0.6194,0.4052,0.4652,5
253,1.4706,0.9231,0.9935,0.5015,0.9264,0.7123,0.7113,3
254,1.4709,0.7871,0.8012,0.7226,0.4562,0.5881,0.5339,4
255,1.4714,0.1034,0.2681,0.6570,0.3804,0.1283,0.3157,1
256,1.4740,0.5990,0.6695,0.3987,0.6024,0.3882,0.3873,6
257,1.5036,0.9235,0.9939,0.5019,0.9268,0.7126,0.7117,3
258,1.5044,0.4176,0.5695,1.0167,0.4041,0.5799,0.6321,4
259,1.5127,0.7063,0.5805,0.1593,0.4533,0.5727,0.3754,3
260,1.5131,0.6304,0.7009,0.6484,0.6337,0.4196,0.4186,6
261,1.5191,0.6185,0.6889,0.6364,0.6218,0.4076,0.4067,6
262,1.5208,0.6348,0.7053,0.6528,0.6382,0.4240,0.4230,6
263,1.5211,0.5586,0.6291,0.7912,0.5619,0.3478,0.4553,5
264,1.5386,0.5006,0.5147,0.6433,0.1698,0.3016,0.2587,4
265,1.5668,0.5533,0.6238,0.7859,0.5567,0.3425,0.4500,5
266,1.6228,0.4928,0.6349,1.0184,0.7473,0.4852,0.6825,5
267,1.6445,0.3182,0.6015,0.9850,0.7139,0.4518,0.6491,1
268,1.6663,0.6019,0.6724,0.8345,0.6053,0.3911,0.4987,5
269,1.6693,0.5836,0.6522,0.2502,0.5851,0.3846,0.3700,3
270,1.6719,0.3485,0.5477,0.9312,0.6793,0.5475,0.6017,1
271,1.6824,0.6539,0.9372,1.3207,1.0495,0.7875,0.9848,1
272,1.6987,0.3534,0.4238,0.5620,0.3567,0.1425,0.2262,5
273,1.7072,0.3829,0.6662,1.0497,0.7786,0.5165,0.7139,1
274,1.7147,0.6255,0.6960,0.8105,0.6289,0.4147,0.4746,5
275,1.7175,0.5714,0.6418,0.8039,0.5747,0.3605,0.4681,5
276,1.7417,0.6468,0.7173,0.5524,0.6501,0.4360,0.4350,6
277,1.7420,0.6514,0.7218,0.6694,0.6547,0.4405,0.4396,6
278,1.7484,0.5575,0.6279,0.7901,0.5608,0.3466,0.4542,5
279,1.7587,0.3446,0.4133,0.4444,0.3461,0.1456,0.1310,6
280,1.7630,0.5680,0.6384,0.8006,0.5713,0.3571,0.4647,5
281,1.7699,0.4059,0.4763,0.5245,0.4092,0.2050,0.1941,6
282,1.7736,0.3552,0.4256,0.7138,0.4426,0.1806,0.3779,5
283,1.7789,1.0200,1.0905,0.5985,1.0234,0.8092,0.8083,3
284,1.7794,0.3695,0.4399,0.7281,0.4569,0.1949,0.3922,5
285,1.7968,0.5801,0.6505,0.7650,0.5834,0.3692,0.4291,5
286,1.8042,0.4614,0.6035,0.9869,0.7158,0.4537,0.6511,5
287,1.8075,0.4986,0.6407,1.0242,0.7531,0.4910,0.6883,5
288,1.8397,0.4623,0.6044,0.9879,0.7168,0.4547,0.6520,5
289,1.8620,0.5533,0.6238,0.7859,0.5567,0.3425,0.4500,5
290,1.8815,0.5783,0.6487,0.8109,0.5816,0.3674,0.4750,5
291,1.9051,0.4070,0.6903,1.0738,0.8027,0.5406,0.7380,1
292,1.9654,0.5982,0.6687,0.8308,0.6015,0.3874,0.4949,5
293,1.9706,0.6525,0.7230,0.5284,0.6559,0.4417,0.4408,6
294,1.9751,0.4999,0.6420,1.0255,0.7544,0.4923,0.6896,5
295,1.9829,0.5953,0.6657,0.8278,0.5986,0.3844,0.4920,5
296,2.0036,0.5805,0.6509,0.7654,0.5838,0.3696,0.4296,5
297,2.0039,0.2864,0.3568,0.4050,0.2897,0.1337,0.0746,6
298,2.0044,0.4997,0.6418,1.0253,0.7542,0.4921,0.6895,5
299,2.0094,0.5983,0.6687,0.8309,0.6016,0.3875,0.4950,5
300,2.0268,0.5669,0.6374,0.4725,0.5702,0.3561,0.3551,6
301,2.0272,0.6367,0.9200,1.3035,1.0324,0.7703,0.9676,1
302,2.0326,0.4868,0.6288,1.0123,0.7412,0.4791,0.6765,5
303,2.0332,0.3424,0.4129,0.7010,0.4299,0.1678,0.3652,5
304,2.0464,0.6307,0.7011,0.5066,0.6340,0.4198,0.4189,6
305,2.0554,0.5019,0.6440,1.0275,0.7564,0.4943,0.6916,5
306,2.0612,0.5154,0.6575,1.0410,0.7699,0.5078,0.7051,5
307,2.0728,0.6046,0.6751,0.5102,0.6079,0.3938,0.3928,6
308,2.0757,0.5304,0.5894,0.4245,0.5222,0.3850,0.3071,6
309,2.0799,0.5894,0.6599,0.7744,0.5927,0.3786,0.4385,5
310,2.0812,0.3918,0.4622,0.6004,0.3951,0.1809,0.2646,5
311,2.0816,0.6354,0.7058,0.6533,0.6387,0.4245,0.4236,6
312,2.0858,0.4808,0.6229,1.0064,0.7352,0.4731,0.6705,5
313,2.0907,0.6119,0.6823,0.7968,0.6152,0.4010,0.4609,5
314,2.0911,1.1371,1.2075,0.7155,1.1404,0.9262,0.9253,3
315,2.1113,0.6096,0.6800,0.7946,0.6129,0.3987,0.4587,5
316,2.1144,0.4874,0.6295,1.0129,0.7418,0.4797,0.6771,5
317,2.1209,0.4820,0.6241,1.0076,0.7364,0.4744,0.6717,5
318,2.1241,0.3487,0.4908,0.8743,0.6032,0.3411,0.5385,5
319,2.1414,0.4740,0.6161,0.9996,0.7285,0.4664,0.6637,5
320,2.1651,0.5114,0.6535,1.0369,0.7658,0.5037,0.7011,5
321,2.1914,0.5085,0.6506,1.0341,0.7630,0.5009,0.6982,5
322,2.1925,0.4731,0.6152,0.9986,0.7275,0.4654,0.6628,5
323,2.1986,0.5018,0.6439,1.0274,0.7563,0.4942,0.6915,5
324,2.1995,0.3283,0.5044,0.8879,0.6167,0.3547,0.5520,1
325,2.2015,0.4913,0.6334,1.0168,0.7457,0.4836,0.6810,5
326,2.2071,0.5933,0.6637,0.8259,0.5966,0.3824,0.4900,5
327,2.2074,0.5630,0.6334,0.7955,0.5663,0.3521,0.4597,5
328,2.2082,0.3536,0.4222,0.4533,0.3551,0.1546,0.1400,6
329,2.2088,0.5954,0.6659,0.8280,0.5988,0.3846,0.4922,5
330,2.2102,0.5800,0.6505,0.8126,0.5833,0.3692,0.4767,5
331,2.2108,0.6552,0.7257,0.5311,0.6586,0.4444,0.4434,6
332,2.2199,0.6617,0.7322,0.5673,0.6650,0.4509,0.4499,6
333,2.2229,0.6584,0.7288,0.6764,0.6617,0.4475,0.4466,6
334,2.2243,0.4921,0.6342,1.0177,0.7466,0.4845,0.6818,5
335,2.2275,0.3780,0.4485,0.7087,0.4376,0.1755,0.3728,5
336,2.2451,0.4874,0.6295,1.0130,0.7419,0.4798,0.6772,5
337,2.2849,0.5948,0.6653,0.8274,0.5982,0.3840,0.4915,5
338,2.2853,0.4966,0.6387,1.0222,0.7511,0.4890,0.6863,5
339,2.3016,0.4190,0.4331,0.6430,0.1380,0.2200,0.2583,4
340,2.3194,0.4893,0.6314,1.0148,0.7437,0.4816,0.6790,5
341,2.3224,0.5014,0.6435,1.0270,0.7558,0.4938,0.6911,5
342,2.3278,0.4669,0.6090,0.9925,0.7214,0.4593,0.6566,5
343,2.3291,0.6403,0.6544,0.2748,0.5489,0.4413,0.3871,3
344,2.3299,0.8593,0.8734,0.8846,0.5285,0.7024,0.6061,4
345,2.3344,0.6599,0.7303,0.4347,0.6632,0.4490,0.4481,3
346,2.3396,0.5560,0.6265,0.7886,0.5593,0.3452,0.4527,5
347,2.3442,1.0373,1.1077,0.6157,1.0406,0.8264,0.8255,3
348,2.3491,0.4772,0.6193,1.0028,0.7317,0.4696,0.6669,5
349,2.3497,0.5554,0.6259,0.7880,0.5587,0.3446,0.4521,5
350,2.3514,0.5675,0.6379,0.7524,0.5708,0.3566,0.4166,5
351,2.3595,0.6072,0.8906,1.2740,1.0029,0.7408,0.9382,1
