spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
288,6.1116,0.6351,0.7056,0.8535,0.6384,0.4243,0.5176,5
289,6.1119,0.4240,0.2639,0.5708,0.0810,0.2904,0.2826,4
290,6.1127,0.7479,0.4646,0.6316,0.4788,0.6143,0.4218,6
291,6.1134,0.7130,0.4297,0.8961,0.4712,0.6854,0.6863,2
292,6.1162,0.4974,0.2141,0.5659,0.1545,0.3639,0.3561,4
293,6.1182,0.7997,0.5727,0.3768,0.7382,0.6542,0.5102,3
294,6.1271,0.3026,0.5859,0.9694,0.6983,0.4368,0.6336,1
295,6.1294,0.6469,0.3636,0.5307,0.3779,0.5133,0.3209,6
296,6.1304,0.7078,0.4975,0.4492,0.6462,0.5623,0.4183,6
297,6.1315,0.3806,0.3742,0.5221,0.3191,0.2352,0.1862,6
298,6.1324,0.5708,0.3438,0.4087,0.5093,0.4253,0.2813,6
299,6.1368,0.2605,0.1501,0.5335,0.4431,0.3112,0.3655,2
300,6.1493,0.8540,0.8399,1.2682,1.1848,1.0530,1.1072,2
301,6.1526,0.2737,0.1369,0.5397,0.4563,0.3244,0.3787,2
302,6.1556,0.3393,0.4097,0.5836,0.3426,0.1780,0.2478,5
303,6.1580,0.2104,0.1916,0.4706,0.2238,0.0920,0.1462,5
304,6.1587,0.2524,0.5357,0.9192,0.6480,0.4389,0.5833,1
305,6.1606,0.3237,0.0968,0.4408,0.3573,0.2255,0.2797,2
306,6.1702,0.2319,0.1701,0.4491,0.2453,0.1135,0.1677,5
307,6.1865,0.6197,0.6901,0.8380,0.6230,0.4088,0.5022,5
308,6.1962,0.3006,0.5839,0.9674,0.6962,0.4342,0.6315,1
309,6.2067,0.9654,0.9911,0.4991,0.9240,0.8199,0.7089,3
310,6.2222,0.6224,0.6342,0.3933,0.5670,0.4770,0.3519,6
311,6.2287,0.6086,0.6791,0.6026,0.6120,0.3978,0.3969,6
312,6.2294,0.5088,0.2819,0.3467,0.4473,0.3634,0.2193,6
313,6.2324,0.3095,0.1507,0.5722,0.1942,0.2818,0.2828,2
314,6.2388,0.4113,0.1501,0.3845,0.2509,0.2777,0.1746,2
315,6.2408,0.6178,0.6196,0.5067,0.5563,0.4723,0.3374,6
316,6.2525,0.6383,0.7087,0.8566,0.6416,0.4274,0.5207,5
317,6.2553,0.6035,0.6339,0.5209,0.5668,0.4580,0.3517,6
318,6.2609,0.3252,0.3956,0.7535,0.4823,0.2228,0.4176,5
319,6.2658,0.4192,0.2332,0.6615,0.5781,0.4462,0.5005,2
320,6.2839,0.5343,0.3073,0.5261,0.4728,0.3888,0.3651,2
321,6.3100,0.5991,0.6695,0.8175,0.6024,0.3882,0.4816,5
322,6.3288,0.6905,0.5148,0.4383,0.6290,0.5451,0.4010,6
323,6.3469,0.5805,0.3535,0.5463,0.5190,0.4350,0.3853,2
324,6.3506,0.5484,0.5411,0.6890,0.4869,0.4030,0.3532,6
325,6.3667,0.5135,0.2865,0.4793,0.4520,0.3681,0.3183,2
326,6.4198,0.3114,0.3818,0.7396,0.4685,0.2366,0.4038,5
327,6.4667,0.5142,0.5753,0.7233,0.5082,0.3688,0.3874,5
328,6.5094,0.4464,0.1631,0.6295,0.3312,0.4188,0.4197,2
329,6.5193,0.2318,0.1702,0.4492,0.2452,0.1134,0.1676,5
330,6.5242,0.2883,0.4874,0.8708,0.6191,0.4872,0.5415,1
331,6.5284,0.5268,0.2998,0.3647,0.4653,0.3813,0.2373,6
332,6.5293,0.3023,0.3557,0.7135,0.4424,0.2627,0.3776,5
333,6.5451,0.4534,0.3014,0.4493,0.3919,0.3080,0.2582,6
334,6.5462,0.4330,0.3410,0.3610,0.3715,0.2876,0.1435,6
335,6.5549,0.3465,0.3866,0.5605,0.3195,0.2011,0.2247,5
336,6.5641,0.2225,0.3458,0.7293,0.5534,0.4215,0.4757,1
337,6.5726,0.3720,0.3828,0.5307,0.3157,0.2265,0.1949,6
338,6.5841,0.4679,0.2410,0.5648,0.4814,0.3496,0.4038,2
339,6.5901,0.4605,0.2943,0.4422,0.3990,0.3151,0.2653,6
340,6.5920,0.8067,0.5234,0.7929,0.4111,0.6731,0.5830,4
341,6.5979,0.1901,0.2161,0.5996,0.3489,0.2171,0.2713,1
342,6.6088,0.1966,0.2139,0.5974,0.3792,0.2474,0.3016,1
343,6.6239,0.3380,0.4084,0.5824,0.3413,0.1792,0.2465,5
344,6.6300,0.6106,0.6811,0.5681,0.6139,0.4109,0.3988,6
345,6.6349,0.4499,0.2229,0.6256,0.5422,0.4104,0.4646,2
346,6.6515,0.4862,0.2896,0.2093,0.4247,0.3407,0.1967,6
347,6.6699,0.3972,0.2607,0.6186,0.4895,0.3576,0.4119,2
348,6.7171,0.3136,0.3443,0.7022,0.4310,0.2740,0.3663,5
349,6.7462,0.3667,0.1398,0.4636,0.3802,0.2484,0.3026,2
350,6.7913,0.1872,0.2233,0.6068,0.3698,0.2380,0.2922,1
351,6.7923,0.1798,0.2064,0.5055,0.2344,0.0815,0.1697,5
